root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
-50.0,-61.5,106.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.188733853924695,6.875493541569878,0.0,45.836623610465864,0.0,0.0,0.0,17.188733853924695,-6.875493541569878,0.0,45.836623610465864,0.0,0.0,0.0,-7.511476694165093,0.320856365273261,-1.9938931270552647,14.140598383828717,-6.898411853375111,-0.4469070802020421,-7.511476694165093,-0.320856365273261,1.9938931270552647,14.140598383828717,-6.898411853375111,0.4469070802020421
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.118781423381417e-14,2.283450223875466e-11,1.9116142928948026e-09,0.0,0.0,17.188733483684896,6.875493537194401,-2.3216848082913513e-07,45.836623549166944,-1.6801885899866813e-07,1.486352451389682e-08,6.792678534720368e-09,17.188733707371103,-6.875493694423128,2.1214814329014644e-07,45.83662344465753,2.0172861032566547e-08,6.045497686974426e-09,1.3957786331554298e-08,-7.511476694227282,0.3208563656109068,-1.9938931271115843,14.1405983844903,-6.8984118546142845,-0.4469070804553579,-7.51147669421107,-0.3208563655466884,1.9938931271010054,14.140598384493654,-6.898411854630775,0.44690708053172906
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.6934357547772276e-13,1.8250472704227946e-10,1.5278574548595593e-08,0.0,0.0,17.188730894783617,6.875493506598876,-1.8556062566421356e-06,45.83662312053434,-1.3428904943442955e-06,1.1879669878203182e-07,5.4290473639538456e-08,17.188732682595308,-6.875494763249263,1.6955937370065554e-06,45.83662228524303,1.6123156344358226e-07,4.831863176432317e-08,1.1155758763295486e-07,-7.511476694662139,0.32085636797189465,-1.9938931275054,14.140598389116409,-6.898411863279204,-0.446907082226668,-7.511476694532572,-0.3208563674586287,1.993893127420846,14.140598389143216,-6.898411863411006,0.4469070828370648
-50.0,-61.5,106.839,0.0,0.0,0.0,-5.709984185714911e-13,6.153756363593025e-10,5.1516816511426316e-08,0.0,0.0,17.188723876192316,6.875493423653465,-6.25679619108673e-06,45.836621958498135,-4.528003772343593e-06,4.005627431964633e-07,1.8305846267992442e-07,17.18872990439648,-6.875497660869912,5.717260543479151e-06,45.83661914203453,5.436460609171764e-07,1.6292240344598258e-07,3.7615366238943863e-07,-7.511476695841053,0.32085637437260556,-1.9938931285730461,14.140598401657941,-6.898411886770069,-0.4469070870287444,-7.511476695404174,-0.3208563726419581,1.9938931282879444,14.14059840174833,-6.898411887214482,0.4469070890869012
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.3522074982293653e-12,1.4572992194872991e-09,1.219993318824493e-07,0.0,0.0,17.18871022519981,6.87549326232662,-1.4817005528047928e-05,45.83661969836545,-1.072297304831723e-05,9.485909719621499e-07,4.335091268193105e-07,17.188724500866105,-6.87550329667289,1.3539306458263797e-05,45.83661302856903,1.287433127738206e-06,3.858240030162613e-07,8.907867101312345e-07,-7.511476698134014,0.3208563868218355,-1.9938931306495924,14.14059842605092,-6.89841193245924,-0.44690709636866827,-7.511476697099419,-0.32085638272341,1.9938931299744296,14.140598426264974,-6.898411933511674,0.4469071012426837
-50.0,-61.5,106.839,0.0,0.0,0.0,-2.6385505855063928e-12,2.843615135895361e-09,2.3805622213405555e-07,0.0,0.0,17.18868774740187,6.875492996684966,-2.8912292427512368e-05,45.83661597681879,-2.0923642896563445e-05,1.8509772115257559e-06,8.459025422424006e-07,17.188715603383816,-6.875512576616494,2.64191294824064e-05,45.83660296210375,2.5121569266862387e-06,7.528549800189747e-07,1.7381842643645825e-06,-7.511476701909616,0.32085640732080467,-1.9938931340688446,14.14059846621653,-6.898412007691276,-0.4469071117478373,-7.511476699890819,-0.32085639932358306,1.9938931327514056,14.14059846663421,-6.89841200974488,0.44690712125846077
-50.0,-61.5,106.839,0.0,0.0,0.0,-4.555132664264746e-12,4.9091513580470675e-09,4.109747523245555e-07,0.0,0.0,17.188654256690782,6.875492600893178,-4.9913512501432685e-05,45.83661043191423,-3.612209284032174e-05,3.1954842190044564e-06,1.4603465713784828e-06,17.18870234661331,-6.875526403233808,4.560937369470706e-05,45.83658796361139,4.336929576929538e-06,1.2997114134465797e-06,3.0007610855027576e-06,-7.51147670753506,0.32085643786316725,-1.993893139163347,14.140598526061128,-6.898412119782966,-0.4469071346619729,-7.511476704049854,-0.3208564240569489,1.9938931368889505,14.140598526782204,-6.898412123328261,0.446907151080893
-50.0,-61.5,106.839,0.0,0.0,0.0,-7.226584527640052e-12,7.788224814223366e-09,6.5199940491277e-07,0.0,0.0,17.18860757524492,6.87549204921385,-7.918632534959194e-05,45.83660270307976,-5.7306642081736477e-05,5.069542100614749e-06,2.3167970541247397e-06,17.188683868498202,-6.8755456756370075,7.235793522398423e-05,45.83656705777553,6.88041172191905e-06,2.061954081929312e-06,4.760619553797092e-06,-7.511476715376152,0.3208564804350207,-1.9938931462643825,14.14059860947627,-6.898412276023369,-0.4469071666011269,-7.511476709846978,-0.3208564585318598,1.9938931426561188,14.140598610620238,-6.898412281647874,0.4469071926492627
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.0777063374507698e-11,1.1614642031345422e-08,9.723319335726196e-07,0.0,0.0,17.18854553351834,6.875491316007383,-0.00011809120109546781,45.83659243111356,-8.546185423182055e-05,7.560248730101249e-06,3.4550579990695575e-06,17.188659310257894,-6.875571289521663,0.00010790796822133874,45.83653927298592,1.0260813097282378e-05,3.075008633924316e-06,7.0995500622679894e-06,-7.5114767257973165,0.3208565370149154,-1.9938931557019761,14.14059872033872,-6.898412483673843,-0.44690720904968917,-7.511476717551614,-0.3208565043505562,1.9938931503209434,14.140598722044727,-6.898412492061714,0.4469072478954826
-50.0,-61.5,106.839,0.0,0.0,0.0,-1.5330253405949165e-11,1.652169977779751e-08,1.3831314170077163e-06,0.0,0.0,17.188465970230354,6.875490375731854,-0.00016798342692209711,45.8365792581822,-0.00012156854204041891,1.0754370167165499e-05,4.914781774715838e-06,17.18862781638347,-6.87560413717104,0.00015349789083241795,45.836503641333806,1.4595893098717776e-05,4.3741657579047826e-06,1.009903140963595e-05,-7.511476739161583,0.32085660957386414,-1.9938931678048946,14.140598862510473,-6.898412749968083,-0.4469072634863943,-7.51147672743216,-0.3208565631091746,1.9938931601504355,14.14059886493725,-6.898412761899736,0.4469073187441057
