schema,pp_serve_clip_v1
policy_hz,50.0000000000
frame,time_s,phase,event_mask,left_hip_pitch_joint,right_hip_pitch_joint,waist_yaw_joint,left_hip_roll_joint,right_hip_roll_joint,waist_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,waist_pitch_joint,left_knee_joint,right_knee_joint,head_yaw_joint,left_shoulder_pitch_joint,right_shoulder_pitch_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,head_pitch_joint,left_shoulder_roll_joint,right_shoulder_roll_joint,left_ankle_roll_joint,right_ankle_roll_joint,left_shoulder_yaw_joint,right_shoulder_yaw_joint,left_elbow_joint,right_elbow_joint,left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
11,0.2200000000,APPROACH_READY,0,-0.1355659488,-0.1355659488,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.1899793727,0.2427907272,-0.1154340512,-0.1154340512,0.0000000000,0.1084838730,-0.1627993259,-0.0080000000,0.0080000000,-0.0964490890,0.0280697050,0.8413483665,0.7327157148,-0.2397103216,0.0394448973,0.0348993807,-0.0203077123,-0.0404502411,-0.0124772763
12,0.2400000000,APPROACH_READY,0,-0.1363637422,-0.1363637422,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.1707558272,0.2327947375,-0.1146362578,-0.1146362578,0.0000000000,0.1064716977,-0.1702775126,-0.0080000000,0.0080000000,-0.1133013238,0.0329742330,0.8485730318,0.7209593510,-0.2815941245,0.0463369756,0.0409972357,-0.0238560127,-0.0475179798,-0.0146573901
13,0.2600000000,APPROACH_READY,0,-0.1372126605,-0.1372126605,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.1503003792,0.2221581748,-0.1137873395,-0.1137873395,0.0000000000,0.1043305762,-0.1782349240,-0.0080000000,0.0080000000,-0.1312335005,0.0381930579,0.8562606753,0.7084496041,-0.3261619673,0.0536707189,0.0474858596,-0.0276316988,-0.0550386404,-0.0169772121
14,0.2800000000,APPROACH_READY,0,-0.1381097824,-0.1381097824,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.1286834231,0.2109176432,-0.1128902176,-0.1128902176,0.0000000000,0.1020678767,-0.1866441757,-0.0080000000,0.0080000000,-0.1501839080,0.0437082199,0.8643848411,0.6952295246,-0.3732604763,0.0614208893,0.0543429227,-0.0316217772,-0.0629863418,-0.0194287591
15,0.3000000000,APPROACH_READY,0,-0.1390521864,-0.1390521864,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.1059753534,0.1991097469,-0.1119478136,-0.1119478136,0.0000000000,0.0996909678,-0.1954778835,-0.0080000000,0.0080000000,-0.1700908354,0.0495017591,0.8729190734,0.6813421629,-0.4227362776,0.0695622488,0.0615460953,-0.0358132544,-0.0713352025,-0.0220040476
16,0.3200000000,APPROACH_READY,0,-0.1400369512,-0.1400369512,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.0822465644,0.1867710901,-0.1109630488,-0.1109630488,0.0000000000,0.0972072177,-0.2047086632,-0.0080000000,0.0080000000,-0.1908925717,0.0555557157,0.8818369163,0.6668305696,-0.4744359978,0.0780695594,0.0690730479,-0.0401931369,-0.0800593414,-0.0246950944
17,0.3400000000,APPROACH_READY,0,-0.1410611552,-0.1410611552,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.0575674506,0.1739382769,-0.1099388448,-0.1099388448,0.0000000000,0.0946239947,-0.2143091305,-0.0080000000,0.0080000000,-0.2125274060,0.0618521300,0.8911119138,0.6517377949,-0.5282062629,0.0869175830,0.0769014507,-0.0447484312,-0.0891328772,-0.0274939161
18,0.3600000000,APPROACH_READY,0,-0.1421218771,-0.1421218771,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.0320084064,0.1606479116,-0.1088781229,-0.1088781229,0.0000000000,0.0919486674,-0.2242519012,-0.0080000000,0.0080000000,-0.2349336273,0.0683730420,0.9007176100,0.6361068895,-0.5838936994,0.0960810817,0.0850089741,-0.0494661440,-0.0985299287,-0.0303925294
19,0.3800000000,APPROACH_READY,0,-0.1432161954,-0.1432161954,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.0056398263,0.1469365983,-0.1077838046,-0.1077838046,0.0000000000,0.0891886039,-0.2345095909,-0.0080000000,0.0080000000,-0.2580495247,0.0751004919,0.9106275491,0.6199809038,-0.6413449335,0.1055348174,0.0933732885,-0.0543332817,-0.1082246146,-0.0333829510
20,0.4000000000,APPROACH_READY,0,-0.1443411887,-0.1443411887,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.0214678953,0.1328409411,-0.1066588113,-0.1066588113,0.0000000000,0.0863511726,-0.2450548153,-0.0080000000,0.0080000000,-0.2818133871,0.0820165200,0.9208152751,0.6034028883,-0.7004065915,0.1152535521,0.1019720642,-0.0593368508,-0.1181910536,-0.0364571975
